id,questions,ans
1,What does the print() function do in Python?,display
2,What keyword is used to define a function in Python? ,**
3,What is the correct way to create a comment in Python?,#
4," What will be the output of the following code? x = 5
y = 2
print(x ** y)",25
5,Which of the following data types is mutable in Python?,list
6,"What is the output of the following code?my_list = [1, 2, 3, 4, 5]
print(my_list[1:3])","2,3"
7,What does the len() function do in Python?,length
8,"What will be the output of the following code?my_string = ""Python""
print(my_string[::-1])",nothyP
9,Which of the following is a correct way to import a module named math in Python?,import
10,"What is the output of the following code?my_tuple = (1, 2, 3)
my_tuple[1] = 4
print(my_tuple)",TypeError
11,Which operator is used for floor division in Python? ,//
12,What keyword is used to indicate the end of a loop block in Python?,break
13,What data type is used to store a sequence of characters in Python? ,str
14,What built-in function is used to obtain the absolute value of a number? ,abs
